World series (raсe day по субботам),"3- 2700,   3 баллов","2- 4400,   6 баллов","1- 5000, 8 баллов",National Tournament (raсe day по четвергам),"8- 600, 1 балл",,,,,,,
"Платная гонка (если игрок записываеися на гонку, должен оплатить 1000 за вход)","4- 1500,   1 балл","3- 3500,   4 баллов","2- 4400,   6 баллов","1- 5000, 9 баллов",National Tournament (raсe day по четвергам),,,,,,,
1- 11000,World series (raсe day по субботам),"4- 2500,   2 баллов","3- 3600,   4 баллов","2- 4200,   7 баллов","1- 5000, 10 баллов",,,,,,,
2 - 2000,"Платная гонка (если игрок записываеися на гонку, должен оплатить 1000 за вход)","5- 1500,  1 балла","4- 2700,   2 баллов","3- 3600,   5 баллов","2- 4000,   8 баллов",,,,,,,
3 - 0,1- 11000,World series (raсe day по субботам),"5- 2000,  1 балл","4- 3000,   4 баллов","3- 3500,   6 баллов",,,,,,,
Bonus Track( тут дают рандомные призы (смотри вкладку ПРИЗЫ) и деньги,2 - 4000,"Платная гонка (если игрок записываеися на гонку, должен оплатить 1000 за вход)","6- 1300,   1 балл","5- 2500,  3 баллов","4- 3000,   5 баллов",,,,,,,
1-7000 +2 приза,3 - 2000,1- 11000,World series (raсe day по субботам),"6- 1800,   2 балла","5- 2500,  4 баллов",,,,,,,
2-5000+1 приз,4 - 0,2 - 5000,"Платная гонка (если игрок записываеися на гонку, должен оплатить 1000 за вход)","7- 1200,   1 балл","6- 2000,   3 балла",,,,,,,
3-5000,Bonus Track,3 - 3000,1- 11000,World series (raсe day по субботам),"7- 1500,   2 балла",,,,,,,
Главная гонка,1-5000 +2 приза,4 - 1500,2 - 6000,"Платная гонка (если игрок записываеися на гонку, должен оплатить 1000 за вход)","8- 1000,   1 балл",,,,,,,
"1- 10000, 3 балла",2-5000+1 приз,5 - 0,3 - 4000,1- 11000,World series (raсe day по субботам),,,,,,,
"2- 7500, 2 балла",3-4000+1 приз,Bonus Track,4 - 2500,2 - 7000,"Платная гонка (если игрок записываеися на гонку, должен оплатить 1000 за вход)",,,,,,,
"3- 5000, 1 балл",4-4000,1-5000 +2 приза,5- 1000,3 - 5000,1- 11000,,,,,,,
ТУРНИР (только автоспорт),Главная гонка,2-4500+1 приз,6-0,4 - 3500,2 - 7000,,,,,,,
"1- 15 000, 20 баллолв","1- 10000, 3 балла",3-3000+1 приз,Bonus Track,5- 2200,3 - 5500,,,,,,,
"2- 12 500, 12 баллов","2- 7800, 2 балла",4 - приз,1-5000 +2 приза,6-1000,4 - 4000,,,,,,,
"3- 10000, 5 баллов","2- 6300, 1 балл",5- 2500,2-4500+1 приз,7-0,5- 3000,,,,,,,
,4- 5000,Главная гонка,3-3000+1 приз,Bonus Track,6 - 2000,,,,,,,
,ТУРНИР (только автоспорт),"1- 12000, 3 балла",4-1500+1 приз,1-5000 +2 приза,7 - 1000,,,,,,,
,"1- 15 000, 20 баллолв","2- 9500, 2 балла",5-приз,2-5000+1 приз,8 - 0,,,,,,,
,"2- 13000, 15 баллов","3- 8000, 1 балл",6 - 1500,3-3000+1 приз,Bonus Track,,,,,,,
,"3- 11100, 8 баллов",4- 7000,Главная гонка,4-1500+1 приз,1-7000 +2 приза,,,,,,,
,"4- 10000, 5 баллов",5- 5000,"1- 13 500, 3 балла",5-приз,2-3000+2 приза,,,,,,,
,,ТУРНИР (только автоспорт),"2- 11 000, 2 балла",6 - 3000,3-5000+1 приз,,,,,,,
,,"1- 15 000, 23 баллолв","3- 10 000, 1 балл",7 - 1500,4-3000+1 приз,,,,,,,
,,"2- 13 000, 18  баллов",4- 8500,Главная гонка,5-приз,,,,,,,
,,"3- 12 500, 13 баллов",5- 7000,"1- 13 500, 3 балла",6 - приз,,,,,,,
,,"4- 11500, 9 баллов",6- 5000,"2- 11 000, 2 балла",7 - 2500,,,,,,,
,,"5- 10000, 5 баллов",ТУРНИР (только автоспорт),"3- 10 000, 1 балл",8 - 1500,,,,,,,
,,,"1- 15 000, 25 баллолв",4- 9000,Главная гонка,,,,,,,
,,,"2- 13 000, 20 баллов",5- 8000,"1- 13 500, 3 балла",,,,,,,
,,,"3- 12 500, 15 баллов",6- 6500,"2- 12 000, 2 балла",,,,,,,
,,,"4- 12 000, 11 баллов",7- 5000,"3- 10 000, 1 балл",,,,,,,
,,,"5- 11 500, 8 баллов",ТУРНИР (только автоспорт),4- 9000,,,,,,,
,,,"6- 10 000, 5 баллов","1- 15 000, 25 баллолв",5- 7700,,,,,,,
,,,,"2- 13 500, 21 баллов",6- 6500,,,,,,,
,,,,"3- 12 500, 17 баллов",7- 5200,,,,,,,
,,,,"4- 12 000, 13 баллов",8- 4000,,,,,,,
,,,,"5- 11500, 10 баллов",ТУРНИР (только автоспорт),,,,,,,
,,,,"6- 11 000, 7 баллов","1- 15 000, 25 баллолв",,,,,,,
,,,,"7- 10 000, 5 баллов","2- 13 800, 22 балла",,,,,,,
,,,,,"3- 13 000, 18 баллов",,,,,,,
,,,,,"4- 12 500, 14 баллов",,,,,,,
,,,,,"5- 12 000, 11баллов",,,,,,,
,,,,,"6- 11 500, 9 баллов",,,,,,,
,,,,,"7- 10 800, 7 баллов",,,,,,,
,,,,,"8- 10 000, 5 баллов",,,,,,,
