Трасса,Мощность,Крутящий момент,Скорость,Разгон,Управляемость,Проходимость,Требование (если стоит + значит нужно выполнить несколько требований на одной машине)
Дрифт 1,1,6,0,1,5,0,мощность 121-200лс + Универсальные шины
National Tournament ,,,,,,,
Трасса 3,4,1,4,2,2,0,"1 widow maker,"
Лёд дрифт 2,3,5,0,3,5,4,редкость 3
Трек 4,2,1,1,4,6,0,редкость 3
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Дорога 4,4,1,1,2,4,0,Франция+ автоспорт
Песок дрэг 1600 м,2,3,6,2,0,3,Седан
1980,,,,,,,
City Challenge ,,,,,,,
Кольцо 4,3,2,6,1,1,0,шины Внедорожные
Грунтовка 4,2,1,3,2,3,4,комфорт
Мотокросс 4,3,5,0,2,6,5,мощность 201-300 лс
National Tournament ,,,,,,,
Трасса 4,2,1,2,3,5,1,эпоха 60-ые
Сельская дорога 1,2,1,1,5,3,2,
Трасса 1,5,2,3,3,3,0,эпоха 60-ые
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Дрэг 400 метров,1,3,4,8,0,0,hot hatch
Грунтовка 1,2,3,1,4,4,5,комфорт
1982,,,,,,,
City Challenge ,,,,,,,
Дорога 1,1,1,1,1,1,1,внедорожник
Мотокросс 1,2,3,1,2,3,6,редкость 4 
Трек 1,2,2,3,2,3,0,
National Tournament ,,,,,,,
Кольцо 1,4,2,5,2,1,0,muscle car
Дрэг 800 метров,2,3,6,6,0,0,muscle car
Дорога 3,1,3,2,3,1,2,
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Дорога 2,2,1,2,1,2,1,эпоха -80-ые
Кольцо 2,4,1,4,3,2,0,С-класс с полным установленным лимитом деталей
1984,,,,,,,
City Challenge ,,,,,,,
Песок дрэг 400 м,1,4,2,6,1,4,С-класс+США
Трек 2,1,1,2,2,4,0,слики+ B-класс
Трек 4,2,1,1,4,6,0,редкость 1
National Tournament ,,,,,,,
Грунтовка 2,2,3,2,3,3,5,Франция+комфорт
Сельская дорога 2,1,2,0,4,5,3,Франция
Кольцо 3,3,2,4,1,2,0,комфорт
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Трасса 2,4,3,3,4,2,0,widow maker
Лёд дрифт 1,2,6,0,2,4,3,автоспорт
1986,,,,,,,
City Challenge ,,,,,,,
Дорога 3,1,3,2,3,1,2,hot hatch
Дрифт 2,0,5,0,0,6,0,коллекция+Италия
Грунтовка 3,1,2,0,4,5,4,эпоха 60-е + редкость 2
National Tournament ,,,,,,,
Трек 3,3,2,2,3,5,0,Гоночные шины + D-класс
Дрэг 1600 метров,1,2,8,4,0,0,гоночные шины
Мотокросс 2,1,4,0,3,4,7,
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Сельская дорога 3,1,1,0,3,5,4,нем седан 
Трасса 3,4,1,4,2,2,0,Франция на сликах
1988,,,,,,,
City Challenge ,,,,,,,
Сельская дорога 4,2,2,2,4,3,2,Porsche
Слалом,0,0,0,2,7,0,Chevrolet
Трасса,4,3,3,4,2,0,Renault
National Tournament ,,,,,,,
Дрифт 3,2,4,0,3,3,0,Lamborghini
Песок дрэг 800 м,1,4,4,4,1,4,BMW
Лёд дрифт 2,3,5,0,3,5,4,Ford
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Кольцо 4,3,2,6,1,1,0,Ferrari
Трасса 4,2,1,2,3,5,1,Проходимость выше 100
1990,,,,,,,
City Challenge ,,,,,,,
Дорога 4,4,1,1,2,4,0,хэтчбек+США + редкость 1
Грунтовка 4,2,1,3,2,3,4,widow maker+Германия
Мотокросс 4,3,5,0,2,6,5,мощность 201-300 лс +эпоха 80-ые
National Tournament ,,,,,,,
Песок дрэг 1600 м,2,3,6,2,0,3,Италия Е-класса
Дрифт 4,3,4,1,2,2,0,
Снег слалом,0,1,0,2,5,4,Италия
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Трек 1,2,2,3,2,3,0,Эпоха - 90 -ые
Трасса 1,5,2,3,3,3,0,Эпоха 70-ые 
1992,,,,,,,
City Challenge ,,,,,,,
Дрифт 1,1,6,0,1,5,0,muscle car + эпоха 70-ые
Дорога 1,1,1,1,1,1,1,hot hatch+Франция
Дрэг 400 метров,1,3,4,8,0,0,мощность 120-200 лс + США
National Tournament ,,,,,,,
Сельская дорога 1,2,1,1,5,3,2,A-класс
Мотокросс 1,2,3,1,2,3,6,A-класс
Грунтовка 1,2,3,1,4,4,5,A-класс
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Лёд дрифт 1,2,6,0,2,4,3,редкость 5 
Слалом,0,0,0,2,7,0,Внедорожник
1994,,,,,,,
City Challenge ,,,,,,,
Кольцо 1,4,2,5,2,1,0,Citroen
Трек 2,1,1,2,2,4,0,купе + эпоха 80-ыхе
Снег слалом,0,1,0,2,5,4,В-класс + мощность выше 250 лс
National Tournament ,,,,,,,
Дрэг 800 метров,2,3,6,6,0,0,мощность менее 121 лс
Сельская дорога 2,1,2,0,4,5,3,мощность менее 121 лс
Песок дрэг 800 м,1,4,4,4,1,4,
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Трек 3,3,2,2,3,5,0,Е-класс + редкость 3
Дрифт 2,0,5,0,0,6,0,США + эпоха 60-ых или 70-ых
1996,,,,,,,
City Challenge ,,,,,,,
Мотокросс 3,2,2,2,4,3,5,эпоха 90-ых + B-класс
Дорога 2,2,1,2,1,2,1,седан+ комфорт+ мощность 301-450лс
Кольцо 2,4,1,4,3,2,0,hot hatch +США +мощность121-200 лс
National Tournament ,,,,,,,
Грунтовка 2,2,3,2,3,3,5,D-класс
Мотокросс 2,1,4,0,3,4,7,D-класс
Дрифт 3,2,4,0,3,3,0,D-класс
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Сельская дорога 3,1,1,0,3,5,4,R класс
Песок дрэг 400 м,1,4,2,6,1,4,купе + эпоха 80ых или 90-ых
1998,,,,,,,
City Challenge ,,,,,,,
Грунтовка 3,1,2,0,4,5,4,комфорт + Франция
Трек 4,2,1,1,4,6,0,коллекция + США
Дрифт 4,3,4,1,2,2,0,Сhevrolet + мощность 201-300 лc
National Tournament ,,,,,,,
Сельская дорога 4,2,2,2,4,3,2,автоспорт
Грунтовка 4,2,1,3,2,3,4,автоспорт
Кольцо 3,3,2,4,1,2,0,widow maker
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Дорога 3,1,3,2,3,1,2,мощность 651-900 лс+ редкость 4
Трасса 3,4,1,4,2,2,0,Скорость выше 300 км\ч
2000,,,,,,,
City Challenge ,,,,,,,
Дрэг 1600 метров,1,2,8,4,0,0,седан+шины Универсальные
Мотокросс 3,2,2,2,4,3,5,хэтчбек + мощность менее 121 лс
Дорога 4,4,1,1,2,4,0,muscle car + Ford
National Tournament ,,,,,,,
Песок дрэг 1600 м,2,3,6,2,0,3,Германия+редкость 1
Кольцо 4,3,2,6,1,1,0,Германия+редкость 2
Грунтовка 4,2,1,3,2,3,4,
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Мотокросс 4,3,5,0,2,6,5,внедорожник + эпоха 90-ых
Трасса 4,2,1,2,3,5,1,hot hatch
2002,,,,,,,
City Challenge ,,,,,,,
Трасса 2,4,3,3,4,2,0,porsche + мощность до 300 лс
Слалом,1,0,0,2,4,0,С-класс + Италия
Трасса 4,2,1,2,3,5,1,седан + мощность 301-450 лс
National Tournament ,,,,,,,
Дрифт 2,0,5,0,0,6,0,эпоха 60-ых
Дрэг 1600 метров,1,2,8,4,0,0,эпоха 70-ых
Дрифт 4,3,4,1,2,2,0,эпоха 80-ых
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Мотокросс 2,1,4,0,3,4,7,Германия+ редкость 3
Мотокросс 3,2,2,2,4,3,5,widow maker
2004,,,,,,,
City Challenge ,,,,,,,
Снег слалом,0,1,0,2,5,4,редкость 4
Кольцо 2,4,1,4,3,2,0,R-класс
Сельская дорога 1,2,1,1,5,3,2,renault + эпоха 90-ых
National Tournament ,,,,,,,
Кольцо 4,3,2,6,1,1,0,коллекция
Кольцо 1,4,2,5,2,1,0,коллекция
Дорога 1,1,1,1,1,1,1,коллекция
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Трек 1,2,2,3,2,3,0,гоночные шины + мощность 451-650 лс + седан
Дрэг 400 метров,1,3,4,8,0,0,Эпоха - 00-ые 
2006,,,,,,,
City Challenge ,,,,,,,
Грунтовка 1,2,3,1,4,4,5,внедорожник + D-класс
Трек 1,2,2,3,2,3,0,Франция +хэтчбек + A-класс
Лёд дрифт 2,3,5,0,3,5,4,lamborghini + мощность 451-600 лс
National Tournament ,,,,,,,
Мотокросс 4,3,5,0,2,6,5,редкость 5
Песок дрэг 1600 м,2,3,6,2,0,3,редкость 5
Дрэг 800 метров,2,3,6,6,0,0,редкость 5
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Трек 2,1,1,2,2,4,0,купе + E-класс + коллекция
Трасса 1,5,2,3,3,3,0,Эпоха 80-ые 
2008,,,,,,,
City Challenge ,,,,,,,
Трасса 1,5,2,3,3,3,0,комфорт +B-класс
Дрэг 400 метров,1,3,4,8,0,0,ferrari + D-класс
Грунтовка 1,2,3,1,4,4,5,Франция +эпоха 90-ых +универсальные шины
National Tournament ,,,,,,,
Дорога 1,1,1,1,1,1,1,Италия+слики
Дрифт 1,1,6,0,1,5,0,Италия+слики
Трек 1,2,2,3,2,3,0,Италия+слики
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Кольцо 1,4,2,5,2,1,0,widow maker + Е-класс
Дрэг 800 метров,2,3,6,6,0,0,Германия + внедорожные шины
2010,,,,,,,
City Challenge ,,,,,,,
Мотокросс 1,2,3,1,2,3,6,редкость 5 + внедорожные шины
Дорога 2,2,1,2,1,2,1,С-класс + Италия
Кольцо 2,4,1,4,3,2,0,редкость 4 + комфорт
National Tournament ,,,,,,,
Грунтовка 2,2,3,2,3,3,5,внедорожник + R-класс
Трек 2,1,1,2,2,4,0,
Дрифт 2,0,5,0,0,6,0,внедорожник
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Сельская дорога 2,1,2,0,4,5,3,автоспорт +США+ эпоха 00-ых
Песок дрэг 400 м,1,4,2,6,1,4,muscle car
2012,,,,,,,
City Challenge ,,,,,,,
Слалом,0,0,0,2,7,0,В-класс + гоночные шины
Трасса 2,4,3,3,4,2,0,hot hatch+ С-класс
Грунтовка 3,1,2,0,4,5,4,
National Tournament ,,,,,,,"3 комфорт Фр, Герм, США"
Дорога 3,1,3,2,3,1,2,Франция+комфорт
Кольцо 3,3,2,4,1,2,0,Германия +комфорт
Мотокросс 2,1,4,0,3,4,7,США +комфорт
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Трек 3,3,2,2,3,5,0,Франция + коллекция
Дрэг 1600 метров,1,2,8,4,0,0,хэтчбек + слики
2014,,,,,,,
City Challenge ,,,,,,,
Лёд дрифт 1,2,6,0,2,4,3,Эпоха 10-ые 
Сельская дорога 3,1,1,0,3,5,4,седан + США + мощность 451-600 лс
Трасса 3,4,1,4,2,2,0,R-класс+ полностью установленный лимит деталей
National Tournament ,,,,,,,
Дрифт 3,2,4,0,3,3,0,А-класс +редкость 1
Трек 4,2,1,1,4,6,0,А-класс +редкость 1
Мотокросс 3,2,2,2,4,3,5,А-класс +редкость 1
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Кольцо 4,3,2,6,1,1,0,мощность выше 900лс
Сельская дорога 4,2,2,2,4,3,2,Эпоха 60-ые 
2016,,,,,,,
City Challenge ,,,,,,,
Мотокросс 4,3,5,0,2,6,5,купе+внедорожные шины+ мощность менее 300 лс
Песок дрэг 800 м,1,4,4,4,1,4,мощность 121-201 лс
Трасса 4,2,1,2,3,5,1,мощность менее 121 лс
National Tournament ,,,,,,,
Дорога 4,4,1,1,2,4,0,Италия +эпоха 00-ые
Дрифт 4,3,4,1,2,2,0,
Лёд дрифт 2,3,5,0,3,5,4,Италия +эпоха 00-ые
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Грунтовка 4,2,1,3,2,3,4,автоспорт + D-класс
Песок дрэг 1600 м,2,3,6,2,0,3,Эпоха - 10-ые
2018,,,,,,,
City Challenge ,,,,,,,
Дорога 1,1,1,1,1,1,1,Германия + универсальные шины ++ эпоха 00-ых
Трек 1,2,2,3,2,3,0,США + hot hatch
Трасса 1,5,2,3,3,3,0,widow maker + слики
National Tournament ,,,,,,,
Дрифт 1,1,6,0,1,5,0,внедорожник
Снег слалом,0,1,0,2,5,4,внедорожник
Дрэг 400 метров,1,3,4,8,0,0,внедорожник + комфорт
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Сельская дорога 1,2,1,1,5,3,2,S-класс 
Трасса 6,3,2,4,3,2,1,Италия + Универсальные шины
2020,,,,,,,
City Challenge ,,,,,,,
Лёд дрифт 1,2,6,0,2,4,3,Эпоха 20-ые
Слалом,0,0,0,2,7,0,А-класс + седан
Кольцо 1,4,2,5,2,1,0,В-класс + купе
National Tournament ,,,,,,,
Трек 2,1,1,2,2,4,0,S-класс
Грунтовка 2,2,3,2,3,3,5,Франция+внедорожник
Дрэг 800 метров,2,3,6,6,0,0,S-класс
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Сельская дорога 2,1,2,0,4,5,3,muscle car + мощность выше 900лс
Песок дрэг 800 м,1,4,4,4,1,4,коллекция
2022,,,,,,,
City Challenge ,,,,,,,
Трек 3,3,2,2,3,5,0,widow maker + Германия
Мотокросс 1,2,3,1,2,3,6,комфорт +США
Дрэг4,2,2,4,8,0,0,коллекция + Франция
National Tournament ,,,,,,,
Дрифт 3,2,4,0,3,3,0,S-класс + Италия
Кольцо 2,4,1,4,3,2,0,S-класс + эпоха 20-ые
Снег слалом,0,1,0,2,5,4,S-класс
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Мотокросс 2,1,4,0,3,4,7,hot hatch +автоспорт
Дорога 2,2,1,2,1,2,1,внедорожник +гоночные шины
2024,,,,,,,
полуФинал,,,,,,,
Слалом,0,0,0,2,5,0,
Дрэг,2,1,4,3,0,0,
Дрифт,1,3,0,1,4,0,
Бездорожье,1,3,1,2,1,5,
Автобан,3,1,4,1,2,1,
"Награды:                            1 -10 баллов,          2- 7 баллов,            3- 4 балла,                 4 - 3 балла,                     5 - 2 балл.                6- 1 балл,                    7-0 баллов                                   8 -0 баллов",,,,,,,
Финал,,,,,,,
Гонка А,1,1,1,0,0,1,hot hatch +Франция
Гонка Б ,0,1,1,1,1,0,widow maker + Германия
Гонка В,1,0,0,1,1,0,автоспорт
Гонка Г,1,1,1,0,0,1,muscle-car
Гонка Д,0,1,1,1,1,0,коллекция + США
Гонка Е,1,0,0,1,1,0,Италия
Гонка Ж,1,1,0,1,1,2,комфорт
Гонка З,1,1,1,1,1,1,
"1 -25 баллов,          2- 19 баллов,            3- 14 баллов,                 4 - 9 балла,                     5 - 6 баллов.                          6-    3 балла                                       7-2 балла                             8 - 1 балл",,,,,,,
,,,,,,,
"Турниры - открываются в указанные года. На них можно отправить только автоспорт, который не участвует в обычных гонках всю игровую неделю",,,,,,,
1964,,,,,,,
Ралли Мексики ,,,,,,,автоспорт
Песок,1,4,0,1,3,6,
Сельская дорога,2,2,2,4,3,2,
Асфальт,3,2,4,4,2,0,
1968,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
1972,,,,,,,
Ралли Сибири,,,,,,,автоспорт
Асфальт,2,2,3,4,4,0,
Грунтовка,2,2,1,3,3,4,
Снег,0,4,0,0,3,8,
1976,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
1980,,,,,,,
Ралли Финляндии,,,,,,,автоспорт
Снег,0,4,0,0,3,8,
Асфальт,3,2,4,4,2,0,
Снег,1,3,0,2,3,6,
1984,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
1988,,,,,,,
Ралли Франции,,,,,,,автоспорт
Асфальт,2,2,2,4,4,1,
Грунтовка,2,3,1,3,3,3,
Сельская дорога,3,2,2,3,3,2,
1992,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
1996,,,,,,,
Ралли Мексики ,,,,,,,автоспорт
Песок,1,4,0,1,3,6,
Сельская дорога,2,2,2,4,3,2,
Асфальт,3,2,4,4,2,0,
2000,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
2004,,,,,,,
Ралли Сибири,,,,,,,автоспорт
Асфальт,2,2,3,4,4,0,
Грунтовка,2,2,1,3,3,4,
Снег,0,4,0,0,3,8,
2008,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
2012,,,,,,,
Ралли Финляндии,,,,,,,автоспорт
Снег,0,4,0,0,3,8,
Асфальт,3,2,4,4,2,0,
Снег,1,3,0,2,3,6,
2016,,,,,,,
Гонка Чемпионов ,,,,,,,автоспорт
Взлётная полоса,3,2,6,4,0,0,
Pikes Peak,2,3,1,3,5,1,
Нюрбургринг,3,2,4,3,3,0,
2020,,,,,,,
Ралли Франции,,,,,,,автоспорт
Асфальт,2,2,2,4,4,1,
Грунтовка,2,3,1,3,3,3,
Сельская дорога,3,2,2,3,3,2,
