,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
Ford 	     F-100,,185,396,115,21,10,115,класс B             внедорожник               США                      60                               2,18 900 /,4
В,,"0,8","0,7","0,6","1,5","0,7","1,5",,,
Ford 	  Galaxie,,220,456,190,"9,8",22,54,класс  B            седан               США                      60                               2                              комфорт,21 000 /,4
У,,"0,7","0,6","0,6","1,4","0,7",1,,,
Porsche	     718 RS 60 Spyder,,148,167,201,10,81,33,класс  B            купе               Германия                      60                               4                                                                     автоспорт,33 000 /,2
С,,"0,8","0,8",1,"1,9","0,8","0,8",,,
Chevrolet	  Corvette Le Mans,,290,407,216,7,57,40,класс  C            купе               США                      60                               5                                                                     автоспорт,43 500 /,1
С,,"0,9",1,"1,3","1,3","0,8","0,8",,,
,ДЕЛЬТА,,,,,,,,,
Chevrolet	    Corvair 500 Club Coupe,,112,217,160,"14,3",34,40,класс  A            купе               США                      60                               1,7200 /,5
У,,"0,9",1,"0,6","1,9","0,7",1,,,
Ford	           Falcon,,91,187,159,19,34,61,класс  A            седан               США                      60                               1,8500 /,5
У,,"0,9",1,"0,6","1,9","0,7",1,,,
BMW                3200 CS,,162,240,200,14,59,44,класс  B            купе               Германия                      60                               2                              комфорт,19 000 /,4
Г,,"0,7","0,7","0,7","2,3","0,7",1,,,
Chevrolet	 Impala,,253,481,192,8,21,47,класс B             купе               США                      60                               2                              muscle car,20 000 /,4
У,,"0,7","0,6","0,6","1,3","0,7",1,,,
Ferrari                250 GTO,,300,294,254,"6,1",86,31,класс   C           купе               Италия                      60                               3                                               widow maker,38 000 /,3
Г,,"0,7","0,8",1,"1,3","0,8","0,8",,,
Ferrari	          400 SuperAmerica SuperFast 2,,300,380,252,7,67,30,класс   C           купе               Италия                      60                               4                                   коллекция,42 000 /,2
Г,,"0,9","0,8","1,1","1,2","0,8","0,8",,,
,1962,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford                    Capri,,60,112,140,"17,8",28,57,класс  A           хэтчбек               США                      60                               1,5100 /,5
У,,"0,8",1,"0,7",2,1,1,,,
Renault           	Alpine A108 Sport,,60,80,125,19,80,35,класс   A           купе               Франция                      60                               2,9000 /,4
Г,,"0,8","0,9","1,3","2,4","0,6",1,,,
Renault	          Alpine A 110,,73,99,145,"14,5",84,31,класс   A           купе               Франция                      60                               2,10 600 /,4
Г,,"0,8","0,9","1,3","2,4","0,6",1,,,
Renault	                4 East African Safari,,35,88,117,"19,7",40,74,класс  A            хэтчбек               Франция                       60                              5                       автоспорт,21 500 /,1
В,,"0,8","0,7","0,6","1,8","0,7","1,2",,,
Chevrolet	 Impala,,260,470,202,"8,2",28,45,класс B             купе               США                      60                               2                              muscle car,22 000 /,4
У,,"0,8","0,9","0,6","1,4","0,8","0,8",,,
Porsche	              356 B 1600 GS Carrera GTL Abarth,,115,135,220,"8,9",85,36,класс   B           купе               Германия                      60                               5                              автоспорт                            коллекция,40 000 /,1
С,,"0,8",1,"0,6","1,5","0,7","0,8",,,
,БЕТА,,,,,,,,,
Citroen	          2 CV 4x4 Sahara,,16,30,87,29,30,89,класс   A           хэтчбек               Франция                       60                               1,6000 /,5
У,,"0,6","0,9","0,6","1,8","0,8","1,3",,,
Renault	      Floride S,,40,62,118,21,45,35,класс  A            купе               Франция                      60                               2,7400 /,4
У,,"0,6","0,7","0,9","2,3","0,8",1,,,
Porsche	          356B 1600,,60,110,163,"11,9",83,40,класс  A            купе               Германия                      60                               2,11 000 /,4
У,,"0,8","0,9",1,"2,1","0,6","0,6",,,
Renault	 Michelotti Boudot Conrero,,45,70,108,"14,8",47,43,класс A             купе               Франция                      60                               5                       коллекция,21 000 /,1
У,,"0,8","0,9",1,"1,6","0,7","0,6",,,
Ferrari	              250 GT Coupe,,240,262,225,"8,2",88,29,класс  B            купе               Италия                      60                               3,28 300 /,3
Г,,"0,8","0,9","0,6","1,4","0,8","0,8",,,
Ford 	    Fairlane NASCAR Race Car,,390,477,248,"7,9",45,28,класс   C           купе               США                      60                               5                              автоспорт,37 000 /,1
С,,"0,9",1,1,"1,6",1,"0,8",,,
Chevrolet 	Corvette Fuel Injection Le Mans,,290,414,227,7,60,38,класс  C            купе               США                      60                               5                              автоспорт,44 500 /,1
С,,1,1,1,"1,4","0,8","0,8",,,
,Гамма,,,,,,,,,
Renault	         4 Super,,33,54,115,23,32,45,класс A             хэтчбек               Франция                       60                               1,6000 /,5
У,,"0,7","0,7","0,6","1,8","0,7",1,,,
BMW	           1500,,81,118,150,15,40,44,класс A             седан               Германия                     60                               1,6900 /,5
У,,"0,9","1,1","0,9","2,2","0,7",1,,,
Porsche	          356B 1600 S,,75,119,171,"11,1",83,40,класс  A            купе               Германия                      60                               2,12 300 /,4
Г,,"0,8","0,9",1,2,"0,6","0,6",,,
Ford 	     F-100 Pickup,,137,298,125,22,14,126,класс B             внедорожник               США                      60                               2,16 000 /,4
В,,"0,7","0,9","0,6","1,7","0,7","1,4",,,
Chevrolet         	Bel Air Sport Coupe,,380,490,185,"7,3",25,48,класс C             купе               США                      60                               4                              muscle car,28 800 /,2
Г,,"0,8","0,8","1,3","1,4","0,8",1,,,
Chevrolet	         Bel Air NASCAR Race Car,,370,570,252,7,37,30,класс  C            купе               США                      60                               5                              автоспорт,35 800 /,1
С,,"0,9","1,1",1,"1,5",1,"0,8",,,
Ferrari	              400 SuperAmerica SuperFast IV,,400,412,280,"5,9",72,30,класс  D            купе               Италия                      60                               4                               коллекция,45 000 /,2
Г,,"0,8","0,9","0,9","1,1",1,"0,8",,,
,ДЕЛЬТА,,,,,,,,,
Renault	            4 Super Rallye,,33,54,115,23,29,54,класс   A           хэтчбек               Франция                       60                              2,6500 /,4
У,,"0,7","0,7","0,6","1,8","0,7","1,2",,,
Chevrolet  	Corvair Monza 900,,84,176,151,15,39,40,класс   A           купе               США                      60                               1,6800 /,5
У,,"0,9","0,8","0,9",2,"0,7",1,,,
Citroen	               DS 21,,109,144,187,"11,2",50,60,класс  A            купе               Франция                      60                               2                         комфорт,13 800 /,4
У,,"0,8","0,9","0,5","1,5","0,6","0,6",,,
Porsche            356B 2000 GS Carrera 2,,130,119,200,"9,2",82,40,класс B             купе               Германия                      60                               2,15 000 /,4
Г,,"0,8","0,9",1,"1,6","0,6","0,8",,,
Ford                Galaxie Club,,375,520,218,"6,8",30,52,класс  C            купе               США                      60                               3                              muscle car                      widow maker,29 700 /,3
У,,"0,8","0,9","1,3","1,3","0,8",1,,,
Ferrari	             250 GT Berlinetta Lusso,,250,255,240,8,90,27,класс  C            купе               Италия                      60                              4                                        коллекция,32 500 /,2
Г,,"0,9","1,1","1,1","1,6","0,8","0,8",,,
,1964,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford                  Capri,,72,118,158,"15,3",30,55,класс   A          хэтчбек               США                      60                               1,5500 /,5
У,,"0,9",1,"0,7",2,1,1,,,
Ford 	 Mustang,,122,257,160,"13,1",38,44,класс  A           купе              США                      60                               1                                muscle car,9900 /,5
У,,1,1,"0,7","2,3","0,7","0,6",,,
Chevrolet	Chevelle Malibu,,155,292,160,"10,3",36,39,класс B            купе              США                      60                               1,10 800 /,5
У,,1,1,"0,6","1,6","0,8",1,,,
Ferrari	         275 GTB,,276,294,246,"6,3",88,33,класс C             купе               Италия                      60                               3,26 800 /,3
Г,,"0,9","0,9",1,"1,1","0,8","0,8",,,
Ferrari	         330 GT 2+2,,304,390,245,"6,3",80,38,класс  C            купе               Италия                      60                               3,30 000 /,3
Г,,"0,9",1,1,1,"0,8","0,8",,,
Porsche	         904 Carrera GTS,,210,196,262,"6,4",91,25,класс  C            купе               Германия                      60                               5                              автоспорт,43 000 /,1
С,,"0,9","0,8","0,9","1,1","0,8","0,7",,,
Ferrari	             250 LM,,310,308,287,5,84,22,класс  C            купе               Италия                     60                               5                              автоспорт,50 000 /,1
С,,"0,8","0,8","0,9","0,8","0,7","0,7",,,
,БЕТА,,,,,,,,,
Renault	  Caravelle,,40,62,118,21,35,35,класс   A           купе               Франция                       60                               1,6800 /,5
У,,"0,8","0,7",1,"2,5",1,1,,,
Porsche	          356C Carrera 2,,74,117,172,"13,5",79,45,класс  A            купе               Германия                     60                               1,9900 /,5
У,,"0,9","0,9","0,8","2,2","0,6","0,6",,,
Renault	          Alpine A 110,,81,104,151,14,84,31,класс  A            купе               Франция                      60                               2,10 900 /,4
Г,,"0,8","0,9","1,3","2,4","0,6",1,,,
Ford 	Thunderbird,,300,579,200,10,25,48,класс C             купе               США                      60                               2                              muscle car,25 000 /,4
У,,"0,9","0,7",1,"1,7",1,1,,,
Chevrolet  	Corvette Sting Ray,,340,466,224,"6,1",55,40,класс  C            купе               США                      60                               3                                       widow maker,32 000 /,3
Г,,"0,9",1,"1,2",1,"0,8","0,8",,,
Chevrolet     	Impala SS Z33 Mk II 427 NASCAR Race Car,,427,588,220,"7,6",60,24,класс  C            купе              США                      60                               5                              автоспорт,41 000 /,1
С,,"0,7","0,8","1,1","1,5","0,8",1,,,
,Гамма,,,,,,,,,
Chevrolet  	Corvair Monza 900 Club Convertible,,102,182,160,"13,4",40,39,класс A            купе              США                      60                               1,7400 /,5
У,,"0,8","0,9","0,7","1,7","0,7",1,,,
BMW	           1800,,90,130,162,14,42,46,класс A             седан               Германия                     60                               2                           комфорт,9800 /,4
У,,"0,8","0,8","0,9","2,2","0,8",1,,,
Ford 	      Fairlane,,209,403,167,"11,9",30,57,класс B             купе              США                      60                               2                                комфорт,13 000 /,4
У,,1,1,"0,6","1,6","0,8",1,,,
Chevrolet	   Corvette,,150,302,165,11,49,45,класс  B            купе               США                      60                               2,20 000 /,4
Г,,"0,9","0,9","1,3","1,9","0,7","0,8",,,
Ford 	   Galaxie 500 Club Victoria,,385,602,225,"6,5",26,52,класс  C            купе               США                      60                               3                             muscle car,32 700 /,3
У,,"0,9","0,8","0,8",1,"0,8","0,8",,,
Ford 	      Fairlane Thunderbolt,,425,651,209,"4,5",20,40,класс  D            купе               США                      60                              4                             muscle car                          widow maker,40 000 /,2
Г,,"0,9","0,9","1,2","0,9","1,2",1,,,
,ДЕЛЬТА,,,,,,,,,
Ford	                 Falcon,,102,190,165,"17,6",34,61,класс A            купе              США                      60                               1                                комфорт,7600 /,5
У,,"0,9",1,"0,7","2,2","0,7",1,,,
Renault	      Gordini,,96,98,171,"12,3",66,40,класс A             купе               Франция                       60                              2,7800 /,4
Г,,"0,6","0,7","0,7",2,"0,7",1,,,
Porsche               	356 SC Coupe,,95,124,185,"10,7",86,38,класс  B            купе               Германия                      60                               2,14 400 /,4
Г,,"0,8","0,9",1,"1,7","0,7","0,8",,,
Porsche	          911 2.0,,110,157,200,"10,4",90,33,класс   B           купе               Германия                      60                               2,18 700 /,4
Г,,"0,8",1,"1,1","1,8","0,7","0,8",,,
Lamborghini	 350 GT,,270,327,254,"6,8",80,40,класс C             купе               Италия                      60                               3,34 000 /,3
Г,,"0,9","0,9",1,"1,1","0,8","0,8",,,
Renault	         Alpine M 64,,115,122,201,"9,1",88,29,класс B             купе               Франция                    60                               5                              автоспорт,39 700 /,1
Г,,"0,9",1,"1,3","1,7","0,7","0,8",,,
Ferrari	            500 Superfast,,400,476,285,"5,7",75,30,класс  D            купе               Италия                     60                               4                       коллекция,45 000 /,2
Г,,"0,7","0,9","0,8","1,1",1,"0,8",,,
,1966,,,,,,,,,
,АЛЬФА,,,,,,,,,
Citroen	             2 CV 4x4 Sahara,,16,30,100,29,32,90,класс A             хэтчбек               Франция                       60                               1,5000 /,5
У,,"0,6","0,9","0,6","1,9","0,8","1,3",,,
BMW	           2000 TI,,120,169,180,"10,8",50,46,класс  A           седан              Германия                      60                               2,11 700 /,4
У,,"0,8","0,9",1,"1,9","0,6",1,,,
BMW	          2000 CS,,122,167,177,"10,4",54,38,класс A            купе              Германия                      60                               2                      комфорт,12 300 /,4
Г,,"0,8","0,9","1,1","1,9","0,6",1,,,
Chevrolet         	C10,,305,481,145,"16,9",10,105,класс B             внедорожник               США                      60                               2,25 000 /,4
В,,"0,6","0,7","0,4","1,2","0,7","1,2",,,
Chevrolet  	Caprice,,325,556,194,"7,7",26,45,класс  C            седан              США                     60                               2                           комфорт,27 400 /,4
,,"0,9","0,8","0,9","1,3",1,"0,7",,,
Renault	      Alpine A 210,,125,166,215,9,93,19,класс B             купе               Франция                      60                               5                       автоспорт,34 500 /,1
С,,1,1,"1,2","1,6","0,7","0,8",,,
Lamborghini	  350 GTS,,320,325,250,6,82,36,класс C             купе               Италия                      60                               4,35 000 /,2
Г,,"0,9",1,1,1,"0,8","0,8",,,
Ford 	             GT40 Race Car,,485,644,346,"5,2",81,25,класс E             купе               США                   60                               5                     автоспорт,50 000 /,1
С,,"1,1","0,9","0,8",1,1,"0,8",,,
,БЕТА,,,,,,,,,
Ford                     Capri,,88,125,170,"12,6",32,55,класс  A           хэтчбек               США                      60                               1,5500 /,5
У,,"0,9",1,"0,7",2,1,1,,,
Renault	          Alpine A 110,,103,126,169,"12,8",86,30,класс A             купе               Франция                      60                               2,11 400 /,4
Г,,"0,8","0,9","1,3","2,4","0,6",1,,,
Citroen	               DS 21,,109,144,188,11,54,62,класс B             купе               Франция                      60                               2                         комфорт,13 800 /,4
У,,"0,8","0,9","0,7","1,5","0,7","0,8",,,
Porsche              	911 S GT Competition Coupe,,148,180,219,8,92,30,класс  B            купе               Германия                      60                               3                          автоспорт,25 000 /,3
Г,,"0,8","0,9","1,1","1,4","0,7","0,8",,,
Renault	           Alpine A 108 Berlinetta Tour de France,,75,115,140,16,90,70,класс B             купе               Франция                      60                               5                       автоспорт                      коллекция,28 500 /,1
В,,"0,8","0,8","1,2","2,4","0,7",1,,,
Ferrari	           365 California,,320,363,245,"7,1",82,39,класс C             купе               Италия                      60                               3                                                                                                   комфорт,33 000 /,3
У,,"0,8",1,1,"1,3","0,8","0,8",,,
Chevrolet	       Corvette Sting Ray,,435,624,229,"5,1",59,40,класс D             купе               США                      60                               3                                       widow maker,35 000 /,3
Г,,"0,8","0,7","1,2","0,8",1,"0,8",,,
Lamborghini	   400 GT Monza,,328,374,270,"6,8",84,37,класс C             купе               Италия                     60                              5                          коллекция,48 800 /,1
Г,,"0,9",1,"0,9","1,2","0,8","0,8",,,
,ГАММА,,,,,,,,,
Renault	Caravelle S Coupe,,68,87,140,"17,9",44,35,класс A             купе               Франция                       60                               1,7700 /,5
У,,"0,8","0,7",1,"2,5","0,8",1,,,
BMW             1800 TI/SA,,110,144,172,"11,8",46,46,класс  A           седан              Германия                      60                              3                       автоспорт,10 500 /,3
Г,,"0,7","0,8","0,8","2,1","0,8",1,,,
Ford 	     Galaxie 500 Fastback Hardtop,,220,456,196,"9,3",25,50,класс B             купе               США                      60                               2                             muscle car,17 000 /,4
У,,"0,9","0,8","0,6","1,6","0,7","0,8",,,
Ford 	   Mustang GT A-Code 225 HP,,225,414,194,"8,7",39,44,класс B             купе               США                      60                               2                             muscle car,24 500 /,4
Г,,"0,8",1,"0,9","1,5","0,8","0,8",,,
Chevrolet  	Biscayne,,425,624,205,"6,8",30,58,класс  C            купе               США                      60                               3                             muscle car,29600,3
У,,"0,8","0,7","0,9","1,3","0,8",1,,,
Ford 	      Shelby GT350,,310,446,206,"5,9",43,40,класс C             купе               США                      60                               3                             muscle car,30 000 /,3
Г,,"0,9","1,1","0,9","1,1","0,8",1,,,
Porsche	         911 S Le Mans Race Car,,193,225,244,7,88,30,класс C             купе               Германия                      60                               5                          автоспорт,36 700 /,1
Г,,"0,9","1,2",1,"1,3","0,9","0,8",,,
Ferrari	          250 Testarossa Recreation by Tempero,,300,302,259,6,79,27,класс  C            купе               Италия                     60                               5                       автоспорт                      коллекция,44 700 /,1
С,,"0,9",1,"0,9",1,"0,8","0,8",,,
,ДЕЛЬТА,,,,,,,,,
Ford	                 Falcon,,106,200,169,"16,8",36,61,класс  A           купе              США                      60                               1                                комфорт,7900 /,5
У,,"0,9",1,"0,7","2,2","0,7",1,,,
Chevrolet        Chevelle Malibu Sedan,,140,298,164,"12,5",39,39,класс B            купе              США                      60                               1,10 000 /,5
У,,"0,9",1,"1,3","1,7","0,7","0,8",,,
Porsche	          911 2.0,,130,174,211,"8,7",90,33,класс  B            купе               Германия                      60                               2,19 300 /,4
Г,,"0,8",1,"1,1","1,6","0,7","0,8",,,
Ford 	      F-250 4x4,,179,333,141,20,12,167,класс B             внедорожник               США                      60                               2,21 500 /,4
В,,"0,8",1,"0,5","1,5","0,7","1,3",,,
Ferrari	       330 GTS,,300,326,235,"7,7",85,35,класс C             купе               Италия                      60                               3,30 000 /,3
Г,,"0,9",1,"1,1","1,5","0,8","0,8",,,
"Porsche	           911 2.0 Coupe ""Monte""",,130,174,208,"8,8",91,70,класс B             купе               Германия                      60                               5                       коллекция,30 000 /,1
У,,"0,7","0,9","1,1","1,5","0,7","0,8",,,
Lamborghini    	400 GT,,324,355,249,"6,6",80,40,класс  C            купе               Италия                      60                               3,38 000 /,3
Г,,"0,9",1,"1,1","1,2","0,8","0,8",,,
Porsche	       910/6 Coupé,,220,211,270,"6,1",90,27,класс  C            купе               Германия                     60                               5                       автоспорт,42 000 /,1
С,,"0,9",1,"0,9","1,1","0,8","0,8",,,
,1968,,,,,,,,,
,АЛЬФА,,,,,,,,,
Citroen	             2 CV 4x4 Sahara,,28,49,105,"27,6",28,90,класс  A            хэтчбек               Франция                       60                               1,5500 /,5
У,,"0,7","0,9","0,6","1,9","0,8","1,3",,,
BMW	          2500,,150,211,195,"10,4",57,42,класс B             седан               Германия                     60                               2                           комфорт,14 200 /,4
У,,"0,8","0,7","0,9","1,8","0,7","0,8",,,
Citroen	             ID 19 Rally Car,,75,150,154,14,60,71,класс A             хэтчбек               Франция                     60                               3                          автоспорт,14 800 /,3
В,,"0,9","0,9","0,7","2,1","0,7",1,,,
BMW	               E9,,170,235,205,"7,8",65,50,класс B             купе               Германия                      60                               2,22 200 /,4
У,,"0,8","0,7","0,9","1,3","0,7","0,8",,,
Chevrolet	           K10 Fleetside Pickup,,170,377,155,16,20,180,класс   C           внедорожник               США                      60                               2,25 300 /,4
В,,"0,9",1,"0,5","1,4","0,8",1,,,
Lamborghini	Espada,,350,400,249,"7,6",86,37,класс C             хэтчбек               Италия                      70                               3,32 000 /,3
Г,,"0,7","0,8","1,2","1,5","0,8","0,8",,,
"Ferrari	           365 GTB/4 ""Daytona""",,320,388,245,"6,2",93,30,класс  C            купе               Италия                      60                               3,35 000 /,3
Г,,"0,8","0,8","1,2","1,1","0,8","0,8",,,
Renault	        Alpine A 220,,310,381,284,"6,8",90,26,класс  D            купе              Франция                      60                              5                      автоспорт,46 800 /,1
С,,"0,8","0,8","1,2","1,4",1,"0,8",,,
Ferrari	           412 P,,420,455,310,"5,6",95,19,класс D             купе              Франция                      60                              4                      автоспорт,48 000 /,2
Г,,"0,8","0,8",1,1,1,"0,8",,,
,БЕТА,,,,,,,,,
Ford                Capri,,93,140,171,"11,8",40,53,класс A            хэтчбек               США                      60                               1,6000 /,5
У,,"0,9",1,"0,7",2,"0,8",1,,,
Chevrolet  	Camaro RS,,275,481,198,"7,7",48,46,класс C            купе              США                      60                               2                                muscle car,13 500 /,4
Г,,"0,9","0,8","1,2","1,2","0,8","0,8",,,
Ford 	   Mustang GT-A Fastback,,325,579,185,"6,5",45,44,класс  C           купе              США                      60                               2                                muscle car,15 000 /,4
Г,,"0,8","0,6","1,2","1,2",1,"0,8",,,
Porsche	            911 S 2.0 Coupe,,170,188,225,"7,9",91,30,класс B             купе               Германия                      60                               2,21 100 /,4
Г,,"0,8",1,"1,1","1,5","0,7","0,8",,,
BMW	       3000 V8 Fastback by Frua,,159,235,195,10,50,60,класс B             купе               Германия                      60                              5                       коллекция,25 800 /,1
У,,"0,8","0,7",1,"1,8",1,"0,8",,,
Lamborghini	Marzal,,175,199,187,"9,4",88,42,класс  B            купе               Италия                      60                              5                       коллекция,30 000 /,1
Г,,"0,8",1,"1,2","1,7","0,8","0,8",,,
Chevrolet	   Corvette Sting Ray,,396,624,239,"5,8",60,38,класс  D            купе               США                      60                               3                                       widow maker,35 000 /,3
Г,,1,"0,8","1,2","1,1",1,"0,8",,,
Ferrari	               P6 Berlinetta Speciale,,380,404,245,"4,9",92,28,класс D             купе               Италия                      60                               5                                      коллекция,45 000 /,1
Г,,"0,8","0,8","1,3","0,7",1,"0,8",,,
,ГАММА,,,,,,,,,
Chevrolet	    Camaro,,140,298,170,12,45,46,класс  B           купе              США                      60                               1                         muscle car,9300 /,5
У,,1,1,"1,2","1,8","0,7","0,8",,,
Ford          Mustang GT,,228,414,190,9,40,44,класс B            купе              США                      60                               2                                muscle car,12 000 /,4
У,,"0,8","0,7","0,9","1,7",1,1,,,
Renault         Alpine A 110 1600G,,125,144,204,"7,1",86,32,класс B             купе               Франция                      60                               2,15 100 /,4
Г,,"0,8","0,9","1,2","1,4","0,7",1,,,
Chevrolet	 Corvette,,213,346,209,"8,1",56,38,класс B             купе              США                      60                               2,18 800 /,4
Г,,"0,9","0,9","1,2","1,7","0,8","0,8",,,
Ferrari	        Dino 206 GT,,180,186,225,"7,5",83,35,класс B             купе               Италия                      60                              2,27 000 /,4
Г,,"0,9","0,8",1,"1,3","0,8","0,8",,,
Ford 	Thunderbird Hardtop Coupe,,345,626,190,"7,1",38,55,класс C             купе               США                      60                               3                           комфорт,29 000 \,3
У,,"0,9","0,7","1,2","1,3","0,8",1,,,
Lamborghini	Miura P 400,,350,378,277,"6,7",84,33,класс  C            купе               Италия                      60                               3,40 000 /,3
Г,,"0,8","0,9","1,3","1,2","0,8","0,8",,,
Ferrari	         206 S Berlinetta Competizione,,220,292,270,7,97,25,класс C             купе               Италия                      60                               5                                 автоспорт                коллекция,43 000 /,1
Г,,1,"0,9","1,2","1,3","0,8","0,8",,,
Porsche	       909 Bergspyder,,270,296,288,3,95,20,класс  D            купе               Германия                      60                              5                      автоспорт                  widow maker,49 000 /,1
С,,"0,8","0,8",1,"0,4",1,"0,8",,,
,ДЕЛЬТА,,,,,,,,,
BMW	           1800,,110,136,168,"12,8",46,46,класс  A            седан               Германия                     60                               2                           комфорт,10 000 /,4
У,,"0,8","0,9","0,9","2,2","0,8",1,,,
Renault         Alpine A 110 1300G,,102,117,198,"9,1",88,32,класс B             купе               Франция                      60                               2,11 300 /,4
Г,,"0,8","0,9","1,2","1,8","0,7",1,,,
Chevrolet	             C30,,126,297,130,21,22,117,класс  B            внедорожник               США                      60                               2,15 900 /,4
У,,"0,8",1,"0,6","1,4","0,7","1,2",,,
Porsche	          911 2.0,,140,180,213,"8,6",90,31,класс B             купе               Германия                      60                               2,18 000 /,4
Г,,"0,8",1,"1,1","1,6","0,7","0,8",,,
Porsche	              911 GT-S 2.0 Coupe,,180,199,230,"7,5",93,30,класс B             купе               Германия                      60                              5                       коллекция,28 000 /,1
Г,,"0,8",1,"1,1","1,3","0,7","0,8",,,
Chevrolet  	Chevelle SS 396,,375,570,200,6,40,58,класс C            купе              США                      60                              3                                muscle car,28 000 /,3
Г,,"0,8","0,8","1,1","1,1","0,8",1,,,
Ford 	       GT40,,335,469,270,5,75,28,класс  D            купе              США                     60                               3,40 000 /,3
Г,,1,"0,9","1,2","0,7",1,"0,8",,,
Porsche	            906E Racing Coupe,,210,145,270,"6,2",102,19,класс  C            купе               Германия                      60                              5                      автоспорт,41 300 /,1
С,,"0,8","0,9","1,2","1,2","0,8","0,8",,,
Ford 	         Shelby GT500 Super Snake,,520,678,274,"4,5",62,38,класс  D            купе               США                      60                               5                                    muscle car                   widow maker                                коллекция,50 000 /,1
Г,,"0,7","0,9","0,7","0,5","0,8","0,8",,,
,1970,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault                 	4,,34,52,119,"21,7",40,45,класс  A            хэтчбек               Франция                       70                             1,5000 /,5
У,,"0,7","0,9","0,7","1,8","0,7",1,,,
Porsche            914/6,,110,157,201,"8,3",88,30,класс  B            купе               Германия                     70                               1,14 000 /,5
У,,"0,6","0,8","0,5","1,3","0,8","0,8",,,
Ford 	      Bronco 2.8,,90,198,129,20,28,180,класс  B            внедорожник               США                      70                               2,16 000 /,4
В,,"0,6","0,9","0,4","1,4","0,8","1,2",,,
"Porsche	             911 S 2.0 Coupe ""Rallye""",,148,190,210,"8,1",92,58,класс B             купе               Германия                      70                               3                       автоспорт,21 700 /,3
В,,"0,8","1,1","1,1","1,5","0,7","0,8",,,
Chevrolet  	Corvette Stingray,,300,515,212,"7,4",58,38,класс  C            купе               США                     70                               3,22 900 /,3
Г,,"0,9","0,8","1,5","1,6",1,1,,,
Chevrolet 	Chevelle SS 454 LS6,,450,677,210,"5,8",44,40,класс C             купе               США                      70                               4                             muscle car                      widow maker,35 000 /,2
Г,,"0,9","0,9","1,2","1,2","0,8","0,8",,,
